Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2022,1960.00,1970.00,1919.36,1930.62,1935.920454545454545454,88,23,170361.00,76,86.36,50.64,-29.38
29-December-2022,1930.00,1950.00,1911.00,1950.00,1913.594202898550724637,138,21,264076.00,123,89.13,39.00,20.00
28-December-2022,1930.00,1948.50,1925.00,1948.50,1940.387096774193548387,31,14,60152.00,25,80.65,23.50,18.50
27-December-2022,1929.50,1929.50,1914.13,1927.00,1925.784615384615384615,65,25,125176.00,53,81.54,15.37,-2.50
26-December-2022,1900.00,1920.00,1898.60,1919.40,1913.166666666666666666,48,23,91832.00,29,60.42,21.40,19.40
23-December-2022,1920.10,1922.63,1888.28,1898.60,1906.830290010741138560,931,62,1775259.00,727,78.09,34.35,-21.50
22-December-2022,1960.00,1960.00,1920.00,1929.00,1930.970588235294117647,34,26,65653.00,17,50.00,40.00,-31.00
21-December-2022,1960.00,1963.14,1934.00,1935.79,1946.000000000000000000,165,31,321090.00,134,81.21,29.14,-24.21
20-December-2022,1950.00,1960.00,1921.70,1952.43,1942.932203389830508474,59,32,114633.00,37,62.71,38.30,2.43
19-December-2022,1930.00,1959.90,1930.00,1958.79,1955.818181818181818181,11,7,21514.00,9,81.82,29.90,28.79
16-December-2022,1960.00,1966.18,1944.25,1944.25,1956.571428571428571428,112,34,219136.00,103,91.96,21.93,-15.75
15-December-2022,1980.00,1991.59,1954.18,1963.34,1971.715346534653465346,404,66,796573.00,325,80.45,37.41,-16.66
14-December-2022,1985.00,2030.00,1985.00,2026.55,2010.540983606557377049,122,15,245286.00,75,61.48,45.00,41.55
13-December-2022,1980.00,1989.00,1970.00,1973.95,1975.030303030303030303,231,48,456232.00,213,92.21,19.00,-6.05
12-December-2022,1962.00,1990.00,1960.91,1988.40,1985.313043478260869565,115,17,228311.00,110,95.65,29.09,26.40
9-December-2022,1980.00,1983.42,1961.53,1963.27,1969.257142857142857142,70,17,137848.00,59,84.29,21.89,-16.73
8-December-2022,1980.00,1986.64,1975.50,1975.50,1983.875000000000000000,8,6,15871.00,7,87.50,11.14,-4.50
7-December-2022,1980.00,1980.00,1978.00,1978.00,1978.500000000000000000,8,5,15828.00,6,75.00,2.00,-2.00
6-December-2022,1992.00,1992.00,1978.03,1978.03,1983.793650793650793650,63,13,124979.00,59,93.65,13.97,-13.97
5-December-2022,1970.00,1995.00,1955.00,1990.50,1983.355555555555555555,135,21,267753.00,122,90.37,40.00,20.50
2-December-2022,1983.00,1983.00,1983.00,1983.00,1983.000000000000000000,1,1,1983.00,1,100.00,0.00,0.00
1-December-2022,1996.93,2030.00,1990.10,2001.90,2007.953846153846153846,260,45,522068.00,184,70.77,39.90,4.97
30-November-2022,1990.00,1995.00,1979.61,1995.00,1984.696428571428571428,56,33,111143.00,43,76.79,15.39,5.00
29-November-2022,1970.00,1994.74,1955.00,1990.55,1986.724489795918367346,98,33,194699.00,83,84.69,39.74,20.55
28-November-2022,1960.00,1985.00,1935.30,1979.92,1974.413612565445026178,191,47,377113.00,142,74.35,49.70,19.92
25-November-2022,1980.00,1990.00,1950.10,1979.00,1965.467532467532467532,231,16,454023.00,225,97.40,39.90,-1.00
24-November-2022,1955.45,1960.00,1955.45,1960.00,1959.357142857142857142,14,13,27431.00,10,71.43,4.55,4.55
23-November-2022,1965.00,1965.00,1930.10,1954.13,1946.911290322580645161,124,22,241417.00,92,74.19,34.90,-10.87
22-November-2022,1920.00,2099.97,1895.80,2081.04,2068.106194690265486725,113,12,233696.00,109,96.46,204.17,161.04
21-November-2022,1960.00,1960.00,1930.10,1930.22,1939.563380281690140845,71,17,137709.00,63,88.73,29.90,-29.78
18-November-2022,1960.00,1960.00,1933.67,1944.00,1947.333333333333333333,9,8,17526.00,,,26.33,-16.00
17-November-2022,1960.00,1968.34,1948.97,1952.86,1957.150000000000000000,60,22,117429.00,34,56.67,19.37,-7.14
16-November-2022,1960.00,1969.05,1960.00,1969.05,1966.833333333333333333,6,3,11801.00,5,83.33,9.05,9.05
15-November-2022,1959.99,1966.00,1951.00,1956.63,1956.258333333333333333,120,24,234751.00,116,96.67,15.00,-3.36
14-November-2022,1950.00,1972.83,1930.10,1964.91,1945.318750000000000000,160,34,311251.00,149,93.12,42.73,14.91
11-November-2022,1930.00,1957.52,1930.00,1956.26,1945.736842105263157894,19,13,36969.00,13,68.42,27.52,26.26
10-November-2022,1930.10,1933.00,1913.89,1913.89,1925.395161290322580645,124,29,238749.00,74,59.68,19.11,-16.21
9-November-2022,1950.00,1950.00,1929.08,1939.33,1938.545454545454545454,88,20,170592.00,53,60.23,20.92,-10.67
7-November-2022,1930.00,1941.90,1916.97,1938.69,1926.810810810810810810,148,63,285168.00,134,90.54,24.93,8.69
4-November-2022,1900.00,1924.88,1883.30,1924.23,1917.540322580645161290,124,20,237775.00,113,91.13,41.58,24.23
3-November-2022,1910.00,1926.00,1886.10,1915.69,1903.772727272727272727,88,15,167532.00,83,94.32,39.90,5.69
2-November-2022,1930.00,1940.00,1918.26,1920.73,1925.091324200913242009,219,31,421595.00,171,78.08,21.74,-9.27
1-November-2022,1915.00,1930.00,1915.00,1930.00,1926.491666666666666666,120,20,231179.00,117,97.50,15.00,15.00
31-October-2022,1900.00,1914.00,1900.00,1914.00,1904.090909090909090909,44,17,83780.00,37,84.09,14.00,14.00
28-October-2022,1888.30,1894.00,1881.76,1886.84,1890.500000000000000000,58,19,109649.00,45,77.59,12.24,-1.46
27-October-2022,1890.00,1899.00,1880.00,1884.00,1885.051724137931034482,116,13,218666.00,108,93.10,19.00,-6.00
25-October-2022,1880.00,1880.00,1875.10,1875.10,1879.375000000000000000,8,4,15035.00,7,87.50,4.90,-4.90
24-October-2022,1880.00,1890.00,1880.00,1886.95,1883.833333333333333333,6,6,11303.00,,,10.00,6.95
21-October-2022,1870.00,1870.00,1860.50,1860.63,1867.483146067415730337,178,21,332412.00,165,92.70,9.50,-9.37
20-October-2022,1855.00,1863.83,1848.14,1863.83,1852.619718309859154929,71,15,131536.00,64,90.14,15.69,8.83
19-October-2022,1860.00,1867.00,1859.54,1860.00,1861.071428571428571428,14,10,26055.00,10,71.43,7.46,0.00
18-October-2022,1820.00,1855.00,1820.00,1855.00,1846.666666666666666666,6,6,11080.00,3,50.00,35.00,35.00
17-October-2022,1830.00,1840.00,1820.00,1836.61,1828.991379310344827586,116,17,212163.00,103,88.79,20.00,6.61
14-October-2022,1825.00,1838.00,1820.10,1822.58,1824.488888888888888888,225,27,410510.00,178,79.11,17.90,-2.42
13-October-2022,1815.00,1821.00,1809.00,1819.50,1817.833333333333333333,42,13,76349.00,37,88.10,12.00,4.50
12-October-2022,1810.00,1821.59,1810.00,1817.19,1817.875000000000000000,8,8,14543.00,5,62.50,11.59,7.19
11-October-2022,1830.10,1830.10,1785.00,1796.28,1821.225165562913907284,151,32,275005.00,101,66.89,45.10,-33.82
10-October-2022,1830.10,1835.00,1819.95,1832.50,1826.379310344827586206,29,24,52965.00,12,41.38,15.05,2.40
7-October-2022,1850.00,1850.00,1832.44,1834.78,1839.255813953488372093,43,14,79088.00,24,55.81,17.56,-15.22
6-October-2022,1830.00,1850.00,1815.30,1850.00,1839.244897959183673469,49,18,90123.00,45,91.84,34.70,20.00
4-October-2022,1810.00,1839.99,1810.00,1831.00,1828.062500000000000000,32,17,58498.00,24,75.00,29.99,21.00
3-October-2022,1820.00,1820.00,1790.00,1794.98,1812.978260869565217391,92,30,166794.00,76,82.61,30.00,-25.02
30-September-2022,1800.00,1830.00,1790.00,1821.00,1809.253623188405797101,138,28,249677.00,117,84.78,40.00,21.00
29-September-2022,1793.50,1814.99,1785.01,1787.86,1797.426229508196721311,488,35,877144.00,439,89.96,29.98,-5.64
28-September-2022,1804.03,1809.00,1792.00,1793.50,1802.600000000000000000,10,8,18026.00,7,70.00,17.00,-10.53
27-September-2022,1840.00,1840.00,1800.10,1805.88,1814.808943089430894308,246,51,446443.00,142,57.72,39.90,-34.12
26-September-2022,1830.00,1850.00,1790.10,1807.47,1808.886792452830188679,1007,127,1821549.00,,,59.90,-22.53
23-September-2022,1880.00,1880.00,1830.10,1849.11,1852.263888888888888888,216,83,400089.00,154,71.30,49.90,-30.89
22-September-2022,1882.00,1883.38,1864.13,1879.69,1873.802139037433155080,187,47,350401.00,93,49.73,19.25,-2.31
21-September-2022,1890.00,1900.00,1860.10,1884.18,1885.920000000000000000,75,52,141444.00,30,40.00,39.90,-5.82
20-September-2022,1880.00,1904.90,1880.00,1904.90,1899.504761904761904761,210,32,398896.00,142,67.62,24.90,24.90
19-September-2022,1878.00,1878.00,1865.00,1875.00,1869.769230769230769230,13,10,24307.00,6,46.15,13.00,-3.00
16-September-2022,1898.67,1898.67,1860.10,1860.55,1883.129629629629629629,162,25,305067.00,147,90.74,38.57,-38.12
15-September-2022,1920.00,1930.00,1890.10,1898.67,1915.125693160813308687,541,94,1036083.00,336,62.11,39.90,-21.33
14-September-2022,1920.00,1924.42,1890.10,1920.07,1907.415730337078651685,89,40,169760.00,48,53.93,34.32,0.07
13-September-2022,1920.00,1948.50,1912.30,1928.32,1927.846153846153846153,143,9,275682.00,139,97.20,36.20,8.32
12-September-2022,1925.00,1925.00,1896.42,1903.00,1904.398648648648648648,148,28,281851.00,115,77.70,28.58,-22.00
9-September-2022,1880.00,1907.84,1880.00,1894.33,1897.000000000000000000,48,24,91056.00,,,27.84,14.33
8-September-2022,1880.00,1909.50,1880.00,1894.92,1887.830188679245283018,53,17,100055.00,30,56.60,29.50,14.92
7-September-2022,1890.00,1890.00,1866.00,1879.00,1881.214285714285714285,84,15,158022.00,71,84.52,24.00,-11.00
6-September-2022,1880.00,1882.00,1869.00,1873.00,1873.125000000000000000,24,18,44955.00,12,50.00,13.00,-7.00
5-September-2022,1860.00,1880.00,1840.10,1878.71,1870.101449275362318840,69,37,129037.00,35,50.72,39.90,18.71
2-September-2022,1870.00,1870.99,1862.00,1864.65,1866.896923076923076923,650,17,1213483.00,,,8.99,-5.35
1-September-2022,1870.00,1887.90,1840.00,1869.99,1841.563142035337624982,14602,295,26890505.00,14291,97.87,47.90,-0.01
30-August-2022,1855.00,1979.00,1855.00,1887.76,1884.993769470404984423,321,52,605083.00,245,76.32,124.00,32.76
29-August-2022,1863.40,1863.40,1840.00,1849.49,1851.742937853107344632,354,33,655517.00,319,90.11,23.40,-13.91
26-August-2022,1870.00,1875.00,1865.10,1865.10,1868.571428571428571428,7,5,13080.00,3,42.86,9.90,-4.90
25-August-2022,1880.00,1886.00,1853.30,1860.59,1875.617021276595744680,47,22,88154.00,17,36.17,32.70,-19.41
24-August-2022,1865.00,1865.00,1860.50,1860.50,1862.500000000000000000,2,2,3725.00,1,50.00,4.50,-4.50
23-August-2022,1855.00,1871.00,1849.95,1870.02,1867.025830258302583025,271,42,505964.00,242,89.30,21.05,15.02
22-August-2022,1890.00,1890.00,1852.11,1860.08,1870.038617886178861788,492,65,920059.00,417,84.76,37.89,-29.92
19-August-2022,1910.00,1910.00,1884.00,1892.75,1896.166666666666666666,18,12,34131.00,7,38.89,26.00,-17.25
18-August-2022,1905.00,1905.00,1890.10,1900.00,1893.401315789473684210,152,19,287797.00,,,14.90,-5.00
17-August-2022,1900.00,1908.00,1897.00,1897.00,1901.666666666666666666,3,3,5705.00,2,66.67,11.00,-3.00
16-August-2022,1890.00,1930.00,1850.00,1889.86,1908.929396662387676508,779,38,1487056.00,660,84.72,80.00,-0.14
12-August-2022,1880.00,1880.00,1870.10,1875.00,1874.416666666666666666,24,10,44986.00,20,83.33,9.90,-5.00
11-August-2022,1880.00,1884.00,1871.10,1883.50,1873.242290748898678414,227,18,425226.00,222,97.80,12.90,3.50
10-August-2022,1840.00,1867.00,1840.00,1867.00,1860.363636363636363636,55,12,102320.00,38,69.09,27.00,27.00
8-August-2022,1850.00,1860.00,1840.50,1853.42,1847.801186943620178041,337,24,622709.00,330,97.92,19.50,3.42
5-August-2022,1842.00,1854.00,1842.00,1850.99,1844.392361111111111111,288,17,531185.00,281,97.57,12.00,8.99
4-August-2022,1850.00,1851.00,1828.26,1843.00,1841.602409638554216867,83,24,152853.00,38,45.78,22.74,-7.00
3-August-2022,1840.00,1840.00,1830.00,1840.00,1837.615384615384615384,39,10,71667.00,24,61.54,10.00,0.00
2-August-2022,1840.00,1847.92,1829.00,1842.79,1837.444444444444444444,36,21,66148.00,23,63.89,18.92,2.79
1-August-2022,1800.00,1847.42,1800.00,1841.06,1832.219885277246653919,523,49,958251.00,431,82.41,47.42,41.06
29-July-2022,1795.00,1819.00,1795.00,1819.00,1813.108695652173913043,138,16,250209.00,92,66.67,24.00,24.00
28-July-2022,1770.00,1795.00,1770.00,1793.11,1780.916666666666666666,84,15,149597.00,82,97.62,25.00,23.11
27-July-2022,1750.10,1780.00,1741.00,1763.74,1747.501792114695340501,279,38,487553.00,190,68.10,39.00,13.64
26-July-2022,1765.00,1765.00,1748.26,1748.26,1755.500000000000000000,10,8,17555.00,2,20.00,16.74,-16.74
25-July-2022,1770.00,1772.50,1755.00,1767.00,1767.914132379248658318,559,75,988264.00,359,64.22,17.50,-3.00
22-July-2022,1770.00,1780.00,1769.79,1775.79,1769.874800637958532695,1254,39,2219423.00,1093,87.16,10.21,5.79
21-July-2022,1750.00,1761.45,1750.00,1760.78,1756.035353535353535353,198,23,347695.00,195,98.48,11.45,10.78
20-July-2022,1740.00,1760.00,1740.00,1749.50,1750.070588235294117647,170,33,297512.00,153,90.00,20.00,9.50
19-July-2022,1730.00,1740.00,1730.00,1735.46,1735.428571428571428571,7,7,12148.00,4,57.14,10.00,5.46
18-July-2022,1710.00,1730.00,1710.00,1724.00,1721.184210526315789473,38,19,65405.00,29,76.32,20.00,14.00
15-July-2022,1700.00,1700.00,1694.00,1696.00,1694.290909090909090909,55,6,93186.00,50,90.91,6.00,-4.00
14-July-2022,1700.00,1700.00,1670.10,1692.00,1683.116104868913857677,267,35,449392.00,262,98.13,29.90,-8.00
13-July-2022,1705.00,1709.99,1691.98,1698.67,1702.666666666666666666,24,12,40864.00,15,62.50,18.01,-6.33
12-July-2022,1720.00,1720.00,1706.00,1706.00,1708.879518072289156626,83,9,141837.00,51,61.45,14.00,-14.00
11-July-2022,1720.00,1725.82,1706.50,1714.17,1715.062992125984251968,254,21,435626.00,188,74.02,19.32,-5.83
8-July-2022,1720.00,1720.00,1710.10,1710.10,1714.055555555555555555,72,11,123412.00,64,88.89,9.90,-9.90
7-July-2022,1700.00,1710.00,1700.00,1709.98,1709.527903469079939668,663,26,1133417.00,646,97.44,10.00,9.98
6-July-2022,1680.00,1697.65,1680.00,1697.65,1685.855513307984790874,263,42,443380.00,178,67.68,17.65,17.65
